  x,y,z,rho,u,v,w,p
    -0.800000,     -0.239970,      0.000000,      0.751660,     -0.008812,    310.295044,      0.000000,  54406.058594
    -0.800000,     -0.202090,      0.000000,      0.751878,     -0.003311,    310.314270,      0.000000,  54428.222656
    -0.800000,     -0.167650,      0.000000,      0.752226,      0.006238,    310.368378,      0.000000,  54463.484375
    -0.800000,     -0.136340,      0.000000,      0.752567,      0.019656,    310.501038,      0.000000,  54498.285156
    -0.800000,     -0.107880,      0.000000,      0.752779,      0.041721,    310.784088,      0.000000,  54520.085938
    -0.800000,     -0.082010,      0.000000,      0.752672,      0.074052,    311.319611,      0.000000,  54510.007812
    -0.800000,     -0.058490,      0.000000,      0.751992,      0.103538,    312.260651,      0.000000,  54442.589844
    -0.800000,     -0.037110,      0.000000,      0.750538,      0.168095,    313.896271,      0.000000,  54298.773438
    -0.800000,     -0.017670,      0.000000,      0.747867,      0.611064,    316.790466,      0.000000,  54036.203125
    -0.800000,      0.000000,      0.000000,      0.740896,      2.245611,    321.406281,      0.000000,  53348.257812
    -0.799850,      0.015710,      0.000000,      0.726862,      5.959800,    327.192657,      0.000000,  51962.191406
    -0.799380,      0.031410,      0.000000,      0.709990,     11.817375,    332.771637,      0.000000,  50303.007812
    -0.798610,      0.047100,      0.000000,      0.695615,     18.904062,    337.205353,      0.000000,  48899.132812
    -0.797530,      0.062770,      0.000000,      0.684765,     26.285070,    340.397614,      0.000000,  47846.679688
    -0.796150,      0.078410,      0.000000,      0.676645,     33.525284,    342.519409,      0.000000,  47063.695312
    -0.794450,      0.094030,      0.000000,      0.670779,     40.575161,    343.743591,      0.000000,  46501.480469
    -0.792460,      0.109610,      0.000000,      0.666604,     47.512138,    344.210449,      0.000000,  46104.234375
    -0.790150,      0.125150,      0.000000,      0.663698,     54.399872,    343.981323,      0.000000,  45830.472656
    -0.787540,      0.140640,      0.000000,      0.662259,     61.222836,    343.152161,      0.000000,  45698.726562
    -0.784630,      0.156070,      0.000000,      0.661733,     67.961159,    341.865021,      0.000000,  45655.390625
    -0.781410,      0.171450,      0.000000,      0.661971,     74.624023,    340.252838,      0.000000,  45686.000000
    -0.777900,      0.186760,      0.000000,      0.662492,     81.236824,    338.431519,      0.000000,  45744.074219
    -0.774080,      0.201990,      0.000000,      0.662995,     87.800751,    336.422516,      0.000000,  45800.554688
    -0.769960,      0.217150,      0.000000,      0.663817,     94.285675,    334.282867,      0.000000,  45887.832031
    -0.765550,      0.232230,      0.000000,      0.664613,    100.727097,    332.129608,      0.000000,  45972.757812
    -0.760850,      0.247210,      0.000000,      0.664824,    107.173172,    329.944763,      0.000000,  46001.113281
    -0.755840,      0.262100,      0.000000,      0.664908,    113.595444,    327.652313,      0.000000,  46017.085938
    -0.750550,      0.276890,      0.000000,      0.665146,    119.965515,    325.297791,      0.000000,  46048.023438
    -0.744970,      0.291580,      0.000000,      0.665034,    126.311516,    322.904205,      0.000000,  46045.054688
    -0.739100,      0.306150,      0.000000,      0.664733,    132.643631,    320.417419,      0.000000,  46023.718750
    -0.732950,      0.320600,      0.000000,      0.664368,    138.935272,    317.804932,      0.000000,  45996.238281
    -0.726510,      0.334930,      0.000000,      0.664079,    145.165436,    315.069794,      0.000000,  45976.148438
    -0.719800,      0.349130,      0.000000,      0.663807,    151.342178,    312.234406,      0.000000,  45957.585938
    -0.712810,      0.363190,      0.000000,      0.663383,    157.480026,    309.278015,      0.000000,  45924.449219
    -0.705540,      0.377120,      0.000000,      0.663016,    163.567001,    306.177155,      0.000000,  45896.875000
    -0.698000,      0.390900,      0.000000,      0.662709,    169.596268,    302.938568,      0.000000,  45875.167969
    -0.690190,      0.404530,      0.000000,      0.662373,    175.547668,    299.549805,      0.000000,  45850.464844
    -0.682110,      0.418000,      0.000000,      0.662163,    181.378326,    296.004150,      0.000000,  45838.050781
    -0.673770,      0.431310,      0.000000,      0.662290,    187.109848,    292.365906,      0.000000,  45858.101562
    -0.665180,      0.444460,      0.000000,      0.662142,    192.799881,    288.652557,      0.000000,  45851.753906
    -0.656320,      0.457430,      0.000000,      0.661817,    198.428207,    284.787964,      0.000000,  45828.199219
    -0.647210,      0.470230,      0.000000,      0.661809,    203.954468,    280.789032,      0.000000,  45835.328125
    -0.637860,      0.482840,      0.000000,      0.661789,    209.400543,    276.703705,      0.000000,  45841.320312
    -0.628250,      0.495280,      0.000000,      0.661647,    214.773911,    272.514679,      0.000000,  45835.546875
    -0.618410,      0.507510,      0.000000,      0.661523,    220.051239,    268.205292,      0.000000,  45831.527344
    -0.608320,      0.519560,      0.000000,      0.661537,    225.233536,    263.801025,      0.000000,  45840.804688
    -0.598010,      0.531400,      0.000000,      0.661474,    230.344284,    259.317444,      0.000000,  45842.625000
    -0.587460,      0.543040,      0.000000,      0.661258,    235.370499,    254.723740,      0.000000,  45829.734375
    -0.576680,      0.554470,      0.000000,      0.661250,    240.309464,    250.032455,      0.000000,  45836.945312
    -0.565690,      0.565690,      0.000000,      0.661069,    245.171753,    245.255600,      0.000000,  45827.359375
    -0.554470,      0.576680,      0.000000,      0.660847,    249.929245,    240.360245,      0.000000,  45813.914062
    -0.543040,      0.587460,      0.000000,      0.660857,    254.579376,    235.377930,      0.000000,  45822.804688
    -0.531400,      0.598010,      0.000000,      0.660679,    259.133179,    230.315643,      0.000000,  45813.507812
    -0.519560,      0.608320,      0.000000,      0.660560,    263.569366,    225.155670,      0.000000,  45810.019531
    -0.507510,      0.618410,      0.000000,      0.660550,    267.901123,    219.925247,      0.000000,  45816.992188
    -0.495280,      0.628250,      0.000000,      0.660424,    272.153107,    214.623749,      0.000000,  45812.699219
    -0.482840,      0.637860,      0.000000,      0.660199,    276.305389,    209.227890,      0.000000,  45798.929688
    -0.470230,      0.647210,      0.000000,      0.660059,    280.332214,    203.746597,      0.000000,  45793.296875
    -0.457430,      0.656320,      0.000000,      0.660050,    284.273132,    198.208527,      0.000000,  45800.394531
    -0.444460,      0.665180,      0.000000,      0.659729,    288.133453,    192.593826,      0.000000,  45777.273438
    -0.431310,      0.673770,      0.000000,      0.659428,    291.847839,    186.875854,      0.000000,  45755.996094
    -0.418000,      0.682110,      0.000000,      0.659470,    295.434296,    181.115555,      0.000000,  45768.011719
    -0.404530,      0.690190,      0.000000,      0.659275,    298.957245,    175.322601,      0.000000,  45757.015625
    -0.390900,      0.698000,      0.000000,      0.658879,    302.400543,    169.444931,      0.000000,  45726.648438
    -0.377120,      0.705540,      0.000000,      0.658527,    305.732788,    163.478470,      0.000000,  45700.484375
    -0.363190,      0.712810,      0.000000,      0.658204,    308.949921,    157.446762,      0.000000,  45677.214844
    -0.349130,      0.719800,      0.000000,      0.657816,    312.036530,    151.358627,      0.000000,  45647.464844
    -0.334930,      0.726510,      0.000000,      0.657536,    314.992462,    145.227097,      0.000000,  45628.242188
    -0.320600,      0.732950,      0.000000,      0.657236,    317.851562,    139.068115,      0.000000,  45607.074219
    -0.306150,      0.739100,      0.000000,      0.656781,    320.631989,    132.859161,      0.000000,  45570.824219
    -0.291580,      0.744970,      0.000000,      0.656221,    323.315247,    126.585609,      0.000000,  45524.531250
    -0.276890,      0.750550,      0.000000,      0.655606,    325.866852,    120.261902,      0.000000,  45472.730469
    -0.262100,      0.755840,      0.000000,      0.655196,    328.325806,    113.919456,      0.000000,  45440.937500
    -0.247210,      0.760850,      0.000000,      0.654472,    330.743805,    107.542969,      0.000000,  45378.722656
    -0.232230,      0.765550,      0.000000,      0.653434,    333.052368,    101.089478,      0.000000,  45286.015625
    -0.217150,      0.769960,      0.000000,      0.652668,    335.223694,     94.600166,      0.000000,  45219.640625
    -0.201990,      0.774080,      0.000000,      0.651883,    337.339905,     88.107117,      0.000000,  45151.566406
    -0.186760,      0.777900,      0.000000,      0.650644,    339.399628,     81.563263,      0.000000,  45039.546875
    -0.171450,      0.781410,      0.000000,      0.649375,    341.341003,     74.951050,      0.000000,  44924.710938
    -0.156070,      0.784630,      0.000000,      0.648181,    343.166504,     68.312965,      0.000000,  44817.152344
    -0.140640,      0.787540,      0.000000,      0.646841,    344.883728,     61.654610,      0.000000,  44695.472656
    -0.125150,      0.790150,      0.000000,      0.645532,    346.498047,     54.960419,      0.000000,  44576.949219
    -0.109610,      0.792460,      0.000000,      0.643968,    347.965210,     48.213909,      0.000000,  44433.796875
    -0.094030,      0.794450,      0.000000,      0.642596,    349.197876,     41.416771,      0.000000,  44309.277344
    -0.078410,      0.796150,      0.000000,      0.641509,    350.129700,     34.601936,      0.000000,  44212.304688
    -0.062770,      0.797530,      0.000000,      0.640727,    350.610321,     27.767368,      0.000000,  44144.898438
    -0.047100,      0.798610,      0.000000,      0.640878,    350.403778,     20.910330,      0.000000,  44167.976562
    -0.031410,      0.799380,      0.000000,      0.642193,    349.064117,     14.117752,      0.000000,  44304.871094
    -0.015710,      0.799850,      0.000000,      0.645165,    345.586334,      7.994658,      0.000000,  44606.421875
     0.000000,      0.800000,      0.000000,      0.654991,    339.697479,      3.720521,      0.000000,  45582.992188
     0.017670,      0.800170,      0.000000,      0.671569,    333.270813,      2.013401,      0.000000,  47226.785156
